Result,Description,Lat,Lng,Image,Detail
期日前投票所,利便性を高め投票率の向上のため、2016年の参議院議員選挙の期日前投票所を西武池袋本店と東武百貨店内に設置,35.729322,139.711669,no-image,
期日前投票所,利便性を高め投票率の向上のため、2017年の参議院議員選挙の期日前投票所を西武池袋本店と東武百貨店内に設置,35.730394,139.710585,p2,
介護予防センター,区民が主体的に介護予防に取り組む施設として開設。将来は区内全８圏域の開設を目指す,35.715927,139.710958,no-image,
体育館の冷暖房を設置,新設、改修時に冷暖房導入,35.728629,139.703119,p5,
体育館の冷暖房を設置,新設、改修時に冷暖房導入,35.740831,139.71454,no-image,
体育館の冷暖房を設置,新設、改修時に冷暖房導入,35.720801,139.709089,no-image,
体育館の冷暖房を設置,新設、改修時に冷暖房導入,35.743549,139.729468,no-image,
体育館の冷暖房を設置,新設、改修時に冷暖房導入,35.74232,139.714732,no-image,
体育館の冷暖房を設置,新設、改修時に冷暖房導入,35.727485,139.700307,p10,
ヘリポート,造幣局跡地に建設予定の防災公園に、災害時のヘリコプターの離着陸場を設置の予定,35.727955,139.721731,no-image,
特別支援教育,区立幼稚園の特別な支援が必要な子どもたちのために、教育センターに「うきうきグループ」を設置し個別支援を実施,35.719711,139.713701,no-image,
特別支援教育,南池袋小学校に自閉症・情緒障害特別支援学級を設置,35.724399,139.714777,p12,http://www.komei.or.jp/km/tokyo-nagahashi-keiichi/2017/04/06/発達障がい児童の授業参加への工夫に感銘/
特別支援教育,西巣鴨中学校に情緒障害通級指導学級を設置,35.728894,139.727449,no-image,
特定都市再生緊急整備地域指定,「国際拠点」として池袋の都市再生を加速させる国の指定の取得に尽力。池袋駅周辺147haが対象に。,35.730964,139.70977,p14,http://www.komei.or.jp/km/tokyo-nagahashi-keiichi/achievements/#j4
特定都市再生緊急整備地域指定,「国際拠点」として池袋の都市再生を加速させる国の指定の取得に尽力。池袋駅周辺147haが対象に。,35.732408,139.715297,p15,http://www.komei.or.jp/km/tokyo-nagahashi-keiichi/achievements/#j4
子育てナビゲーター,子育て支援の拡充のため、豊島区役所に「子育てナビゲーター」を配置,35.72596,139.71657,no-image,
大量違法駐車を一掃！,要町通り（要町１～３丁目）側道の違法駐車対策が強化され、改善さ,35.735834,139.692595,p17,
大量違法駐車を一掃！,要町通り（要町１～３丁目）側道の違法駐車対策が強化され、改善さ,35.73381,139.696024,p18,
